year,month,day,date_decimal,snvalue,snerror,nb_observations,
2021,3,30,2021.242,9,6,52,
2021,3,31,2021.245,0,1.6,47,
2021,4,1,2021.248,0,0,52,
2021,4,2,2021.251,0,0,49,
2021,4,3,2021.253,4,6.1,42,
2021,4,4,2021.256,12,4,46,
2021,4,5,2021.259,11,5.4,43,
2021,4,6,2021.262,6,7.2,55,
2021,4,7,2021.264,0,4.9,45,
2021,4,8,2021.267,0,2.1,44,
2021,4,9,2021.27,0,0,49,
2021,4,10,2021.273,0,1.9,31,
2021,4,11,2021.275,10,6.6,42,
2021,4,12,2021.278,14,5.9,48,
2021,4,13,2021.281,19,4.7,51,
2021,4,14,2021.284,21,2.6,50,
2021,4,15,2021.286,25,7.6,46,
2021,4,16,2021.289,35,14.2,47,
2021,4,17,2021.292,15,7,41,
2021,4,18,2021.295,18,4.4,48,
2021,4,19,2021.297,36,7.8,49,
2021,4,20,2021.3,57,7.2,60,
2021,4,21,2021.303,46,4.6,55,
2021,4,22,2021.305,44,8,58,
2021,4,23,2021.308,37,6,60,
2021,4,24,2021.311,54,11.1,49,
2021,4,25,2021.314,55,11.8,45,
2021,4,26,2021.316,50,7.9,55,
2021,4,27,2021.319,55,7.9,54,
2021,4,28,2021.322,46,8,45,
2021,4,29,2021.325,37,6.7,33,
2021,4,30,2021.327,28,8.3,49,
2021,5,1,2021.33,10,6.2,48,
2021,5,2,2021.333,0,0,44,
2021,5,3,2021.336,0,1.7,45,
2021,5,4,2021.338,0,0,42,
2021,5,5,2021.341,0,0,45,
2021,5,6,2021.344,0,0,42,
2021,5,7,2021.347,10,5.5,45,
2021,5,8,2021.349,17,2.6,44,
2021,5,9,2021.352,20,4.7,50,
2021,5,10,2021.355,34,4.8,55,
2021,5,11,2021.358,32,4,49,
2021,5,12,2021.36,33,4.1,53,
2021,5,13,2021.363,30,4.4,42,
2021,5,14,2021.366,26,3.5,49,
2021,5,15,2021.368,28,6,32,
2021,5,16,2021.371,13,4.8,39,
2021,5,17,2021.374,14,4.1,50,
2021,5,18,2021.377,28,5.9,48,
2021,5,19,2021.379,27,6.4,34,
2021,5,20,2021.382,20,5,42,
2021,5,21,2021.385,14,2.2,40,
2021,5,22,2021.388,19,6.5,37,
2021,5,23,2021.39,27,4.2,41,
2021,5,24,2021.393,31,10.6,45,
2021,5,25,2021.396,41,11.5,43,
2021,5,26,2021.399,41,6.8,55,
2021,5,27,2021.401,41,8.6,42,
2021,5,28,2021.404,31,5.5,48,
2021,5,29,2021.407,15,4.4,54,
2021,5,30,2021.41,26,7,49,
2021,5,31,2021.412,30,6.1,59,
2021,6,1,2021.415,22,6.6,51,
2021,6,2,2021.418,29,4,46,
2021,6,3,2021.421,31,3.5,50,
2021,6,4,2021.423,35,6.3,45,
2021,6,5,2021.426,38,7.7,35,
2021,6,6,2021.429,38,5.3,47,
2021,6,7,2021.432,49,9.2,56,
2021,6,8,2021.434,34,9.2,49,
2021,6,9,2021.437,25,6,55,
2021,6,10,2021.44,27,5.4,55,
2021,6,11,2021.442,19,9.2,39,
2021,6,12,2021.445,8,7.4,52,
2021,6,13,2021.448,15,5.2,44,
2021,6,14,2021.451,12,3.5,57,
2021,6,15,2021.453,11,0.8,60,
2021,6,16,2021.456,11,1.8,51,
2021,6,17,2021.459,12,2.6,54,
2021,6,18,2021.462,21,4.7,46,
2021,6,19,2021.464,15,3.7,41,
2021,6,20,2021.467,14,3.7,45,
2021,6,21,2021.47,13,2.6,44,
2021,6,22,2021.473,16,4,25,
2021,6,23,2021.475,12,2.8,48,
2021,6,24,2021.478,11,0.8,51,
2021,6,25,2021.481,23,3.5,36,
2021,6,26,2021.484,19,5.6,48,
2021,6,27,2021.486,33,6.8,41,
2021,6,28,2021.489,46,7.7,49,
2021,6,29,2021.492,56,8.7,51,
2021,6,30,2021.495,54,8.4,40,
2021,7,1,2021.497,57,9.8,43,
2021,7,2,2021.5,62,12.9,54,
2021,7,3,2021.503,60,11.7,43,
2021,7,4,2021.505,50,8.8,38,
2021,7,5,2021.508,45,8.7,49,
2021,7,6,2021.511,49,9.3,44,
2021,7,7,2021.514,20,11.1,48,
2021,7,8,2021.516,16,11.4,43,
2021,7,9,2021.519,11,8.6,49,
2021,7,10,2021.522,15,9.1,39,
2021,7,11,2021.525,21,3.5,45,
2021,7,12,2021.527,23,4.2,41,
2021,7,13,2021.53,21,6.8,36,
2021,7,14,2021.533,30,5.5,36,
2021,7,15,2021.536,22,5.5,39,
2021,7,16,2021.538,35,7.6,41,
2021,7,17,2021.541,49,9.5,53,
2021,7,18,2021.544,48,7.9,54,
2021,7,19,2021.547,48,11.8,47,
2021,7,20,2021.549,46,7,52,
2021,7,21,2021.552,72,11.8,54,
2021,7,22,2021.555,76,11.4,54,
2021,7,23,2021.558,57,12.9,47,
2021,7,24,2021.56,32,6.8,45,
2021,7,25,2021.563,36,7.1,47,
2021,7,26,2021.566,31,10.5,49,
2021,7,27,2021.568,18,11.5,45,
2021,7,28,2021.571,6,7.8,46,
2021,7,29,2021.574,3,6.2,53,
2021,7,30,2021.577,0,0,50,
2021,7,31,2021.579,3,7.2,40,
2021,8,1,2021.582,8,10.2,33,
2021,8,2,2021.585,13,4.3,53,
2021,8,3,2021.588,17,3.2,57,
2021,8,4,2021.59,17,6.4,53,
2021,8,5,2021.593,22,12.7,44,
2021,8,6,2021.596,8,6.8,47,
2021,8,7,2021.599,0,2.4,47,
2021,8,8,2021.601,0,2.9,39,
2021,8,9,2021.604,7,6.8,53,
2021,8,10,2021.607,0,3.4,51,
2021,8,11,2021.61,18,8,49,
2021,8,12,2021.612,7,5.8,51,
2021,8,13,2021.615,9,11.1,45,
2021,8,14,2021.618,19,13.9,44,
2021,8,15,2021.621,21,8.1,50,
2021,8,16,2021.623,20,6,43,
2021,8,17,2021.626,15,5,35,
2021,8,18,2021.629,13,8,38,
2021,8,19,2021.632,22,9.1,43,
2021,8,20,2021.634,12,5.3,50,
2021,8,21,2021.637,16,7.9,45,
2021,8,22,2021.64,19,5,39,
2021,8,23,2021.642,16,3.6,47,
2021,8,24,2021.645,20,5.5,53,
2021,8,25,2021.648,36,5.4,57,
2021,8,26,2021.651,48,10.7,52,
2021,8,27,2021.653,71,9.3,54,
2021,8,28,2021.656,75,15.4,50,
2021,8,29,2021.659,51,9.9,38,
2021,8,30,2021.662,43,7.3,41,
2021,8,31,2021.664,39,6.6,46,
2021,9,1,2021.667,38,9.8,28,
2021,9,2,2021.67,33,4.7,53,
2021,9,3,2021.673,26,10.8,52,
2021,9,4,2021.675,71,12.7,49,
2021,9,5,2021.678,74,10.1,56,
2021,9,6,2021.681,83,8.2,54,
2021,9,7,2021.684,84,12,55,
2021,9,8,2021.686,97,12.9,55,
2021,9,9,2021.689,101,14.3,46,
2021,9,10,2021.692,96,13.2,41,
2021,9,11,2021.695,72,11.5,43,
2021,9,12,2021.697,49,10.3,37,
2021,9,13,2021.7,33,4.9,50,
2021,9,14,2021.703,23,4.3,43,
2021,9,15,2021.705,10,4.3,31,
2021,9,16,2021.708,0,0,42,
2021,9,17,2021.711,0,0,45,
2021,9,18,2021.714,0,2.6,47,
2021,9,19,2021.716,13,4,48,
2021,9,20,2021.719,43,7.3,41,
2021,9,21,2021.722,65,9.1,51,
2021,9,22,2021.725,81,9.6,41,
2021,9,23,2021.727,70,12.1,49,
2021,9,24,2021.73,60,9.5,49,
2021,9,25,2021.733,45,10.4,53,
2021,9,26,2021.736,50,11.7,41,
2021,9,27,2021.738,50,9.3,33,
